game_number, player_one_result 
0, Win
1, Draw
2, Win
3, Win
4, Win
5, Win
6, Win
7, Lose
8, Win
9, Win
10, Win
11, Win
12, Lose
13, Win
14, Draw
15, Draw
16, Win
17, Win
18, Win
19, Lose
20, Win
21, Lose
22, Lose
23, Draw
24, Lose
25, Win
26, Win
27, Win
28, Lose
29, Win
30, Draw
31, Win
32, Lose
33, Win
34, Lose
35, Win
36, Draw
37, Lose
38, Draw
39, Win
40, Draw
41, Win
42, Win
43, Win
44, Draw
45, Lose
46, Lose
47, Win
48, Lose
49, Win
50, Draw
51, Lose
52, Win
53, Win
54, Draw
55, Draw
56, Win
57, Win
58, Win
59, Lose
60, Win
61, Win
62, Win
63, Win
64, Draw
65, Win
66, Lose
67, Win
68, Win
69, Lose
70, Win
71, Win
72, Win
73, Win
74, Lose
75, Draw
76, Win
77, Win
78, Win
79, Lose
80, Lose
81, Win
82, Lose
83, Win
84, Win
85, Win
86, Lose
87, Win
88, Win
89, Draw
90, Lose
91, Win
92, Win
93, Lose
94, Lose
95, Lose
96, Lose
97, Lose
98, Win
99, Draw
100, Win
101, Lose
102, Win
103, Win
104, Win
105, Draw
106, Win
107, Draw
108, Lose
109, Win
110, Win
111, Lose
112, Win
113, Win
114, Win
115, Draw
116, Win
117, Win
118, Lose
119, Draw
120, Win
121, Win
122, Win
123, Lose
124, Win
125, Win
126, Win
127, Win
128, Lose
129, Win
130, Lose
131, Draw
132, Lose
133, Win
134, Win
135, Win
136, Lose
137, Win
138, Lose
139, Win
140, Win
141, Win
142, Win
143, Win
144, Win
145, Draw
146, Win
147, Win
148, Lose
149, Lose
150, Win
151, Lose
152, Lose
153, Win
154, Win
155, Lose
156, Win
157, Win
158, Lose
159, Draw
160, Win
161, Draw
162, Draw
163, Win
164, Lose
165, Win
166, Lose
167, Draw
168, Win
169, Win
170, Win
171, Lose
172, Draw
173, Win
174, Win
175, Win
176, Lose
177, Win
178, Lose
179, Draw
180, Lose
181, Win
182, Win
183, Win
184, Lose
185, Draw
186, Win
187, Draw
188, Win
189, Win
190, Draw
191, Win
192, Lose
193, Draw
194, Lose
195, Lose
196, Win
197, Lose
198, Win
199, Lose
200, Win
201, Lose
202, Win
203, Win
204, Lose
205, Lose
206, Win
207, Lose
208, Lose
209, Win
210, Win
211, Win
212, Lose
213, Win
214, Win
215, Lose
216, Win
217, Lose
218, Lose
219, Win
220, Lose
221, Win
222, Win
223, Win
224, Win
225, Win
226, Win
227, Win
228, Win
229, Win
230, Lose
231, Win
232, Win
233, Win
234, Win
235, Lose
236, Win
237, Lose
238, Win
239, Lose
240, Draw
241, Win
242, Win
243, Win
244, Win
245, Lose
246, Win
247, Lose
248, Win
249, Lose
250, Win
251, Lose
252, Lose
253, Win
254, Lose
255, Win
256, Win
257, Lose
258, Win
259, Lose
260, Lose
261, Win
262, Win
263, Win
264, Win
265, Win
266, Win
267, Win
268, Win
269, Win
270, Win
271, Draw
272, Win
273, Win
274, Lose
275, Win
276, Lose
277, Win
278, Lose
279, Win
280, Lose
281, Draw
282, Win
283, Lose
284, Win
285, Win
286, Draw
287, Lose
288, Win
289, Win
290, Win
291, Win
292, Win
293, Win
294, Win
295, Win
296, Lose
297, Draw
298, Draw
299, Win
300, Win
301, Draw
302, Win
303, Win
304, Win
305, Win
306, Win
307, Win
308, Win
309, Lose
310, Draw
311, Win
312, Draw
313, Lose
314, Win
315, Win
316, Lose
317, Draw
318, Win
319, Win
320, Lose
321, Lose
322, Draw
323, Win
324, Lose
325, Lose
326, Win
327, Lose
328, Win
329, Win
330, Win
331, Win
332, Win
333, Win
334, Draw
